Риск-балл;Уровень риска;Риск-флаги;VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние;Ценовой сегмент;Цена продажи факт;МЦП;Отклонение от МЦП, ₽;% цены к МЦП;% цены к рынку;Срок публикации;Срок хранения;Количество звонков;Статус звонков;GM2, ₽;GM2, %;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Оценок по VIN;flag_multiple_evaluations
12;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП";VF38D4HLACL036980;Avangard Приморский;Peugeot;508;2012;146603;B;<1 млн ₽;850000.0;934065.934065934;-84065.93406593404;91.0;88.0;0.0;2.0;;нет данных;98665.0;11.6;Симаньков Артем;Симаньков Артем;Trade-In на новый;68.0;1;False
10;Критический;"0 звонков; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП";XW8AC4NE6LH021405;Авангард Выкуп;Skoda;Octavia;2020;72438;A;1–2 млн ₽;1890000.0;1968750.0;-78750.0;96.0;86.0;1.0;17.0;0.0;0 звонков;92120.0;4.9;Мироненко Алексей;Мироненко Алексей;Выкуп;80.0;1;False
6;Высокий;"ниже рынка; ниже 90% рынка; ниже МЦП; несколько оценок";RUMGJ523804019001;Авангард Выкуп;Mazda;6;2021;100250;A;2–3 млн ₽;2490000.0;2567010.309278351;-77010.30927835079;97.0;89.0;17.0;0.0;3.0;звонки были;;;Коротков Павел;Коротков Павел;Выкуп;80.0;2;True
8;Высокий;"ниже рынка; ниже 90% рынка; ниже МЦП; GM2<0; несколько оценок";Z8NFBNJ11ES132883;Avangard Приморский;Nissan;Qashqai;2021;119100;C;1–2 млн ₽;1821000.0;1896875.0;-75875.0;96.0;83.0;130.0;137.0;25.0;звонки были;-54094.0;-3.0;Параничев Андрей;Параничев Андрей;Trade-In на новый;80.0;2;True
6;Высокий;"без публикации; нет данных по звонкам; ниже МЦП";YV1PZK5VCM1136711;Авангард Выкуп;Volvo;V90 Cross Country;2024;144928;A;3–5 млн ₽;3690000.0;3765306.12244898;-75306.12244897988;98.0;;0.0;7.0;;нет данных;112479.0;3.0;;;;;0;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";XW8ZZZ61ZCG058142;Avangard Приморский;Volkswagen;Polo;2012;244449;D;<1 млн ₽;210000.0;280000.0;-70000.0;75.0;31.0;0.0;10.0;;нет данных;69303.0;33.0;Жиганов Василий;Жиганов Василий;Trade-In;54.0;1;False
9;Критический;"ниже рынка; ниже 90% рынка; ниже МЦП; ниже 95% МЦП; GM2<0";XTAGFL440LY442869;Avangard Приморский;Lada (ВАЗ);Vesta;2020;46517;B;<1 млн ₽;930000.0;989361.7021276596;-59361.70212765958;94.0;84.0;133.0;154.0;12.0;звонки были;-79420.0;-8.5;;;;;0;False
8;Высокий;"ниже рынка; ниже 90% рынка; ниже МЦП; GM2<0";RUMGJ523803012161;Avangard Приморский;Mazda;6;2019;97408;C;1–2 млн ₽;1995000.0;2035714.2857142857;-40714.28571428568;98.0;80.0;126.0;134.0;47.0;звонки были;-82761.0;-4.1;;;;;0;False
9;Критический;"0 звонков; ниже рынка; ниже рынка ≤7 дней; ниже МЦП";LVVDB21B2PD965233;Avangard Приморский;Chery;Tiggo 4 Pro;2023;57850;B;1–2 млн ₽;1270000.0;1309278.3505154639;-39278.350515463855;97.0;90.0;4.0;7.0;0.0;0 звонков;106447.0;8.4;Параничев Андрей;Параничев Андрей;Trade-In на новый;81.0;1;False
14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП";XWFPD2D11E0014337;Avangard Приморский;Opel;Astra;2014;156230;D;<1 млн ₽;350000.0;388888.8888888889;-38888.888888888876;90.0;45.0;0.0;1.0;;нет данных;27167.0;7.8;Вырышев Максим;Вырышев Максим;Trade-In на БУ;75.0;1;False
14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП";Z6F5XXEEC5HR34764;Avangard Приморский;Ford;Focus;2017;126579;D;<1 млн ₽;600000.0;638297.8723404256;-38297.872340425616;94.0;61.0;0.0;8.0;;нет данных;60272.0;10.0;Вырышев Максим;Вырышев Максим;Trade-In на новый;49.0;1;False
