Риск-балл;Уровень риска;Риск-флаги;VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние;Ценовой сегмент;Цена продажи факт;МЦП;Отклонение от МЦП, ₽;% цены к МЦП;% цены к рынку;Срок публикации;Срок хранения;Количество звонков;Статус звонков;GM2, ₽;GM2, %;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Оценок по VIN;flag_multiple_evaluations
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; несколько оценок";WMWLN710802D92834;Авангард Выкуп;Mini;Clubman;2016;98714;C;1–2 млн ₽;1600000.0;;;;73.0;0.0;1.0;;нет данных;33167.0;2.1;Бабкин Кирилл;Бабкин Кирилл;Выкуп;80.0;2;True
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";1C4RJFCGXDC566266;Avangard Приморский;Jeep;Grand Cherokee;2012;325500;D;<1 млн ₽;950000.0;;;;65.0;0.0;2.0;;нет данных;99928.0;10.5;Бойцов Иван;Бойцов Иван;Trade-In на новый;70.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";XW8AD6NE2FH013203;Авангард Выкуп;Skoda;Octavia;2014;245501;Не указано;<1 млн ₽;890000.0;;;;77.0;0.0;3.0;;нет данных;60035.0;6.7;Бабкин Кирилл;Бабкин Кирилл;Выкуп;0.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";Z6FBXXESWBJT04173;Avangard Приморский;Ford;Explorer;2018;106500;D;2–3 млн ₽;2400000.0;;;;75.0;0.0;2.0;;нет данных;202631.0;8.4;Параничев Андрей;Параничев Андрей;Trade-In на новый;75.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";X7LHSRDVN50673902;Avangard Приморский;Renault;Duster;2014;120093;D;<1 млн ₽;620000.0;;;;70.0;0.0;1.0;;нет данных;79434.0;12.8;Симаньков Артем;Симаньков Артем;Trade-In на новый;75.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";Z8NFDAJ11ES061964;Avangard Приморский;Nissan;Qashqai;2018;142400;D;1–2 млн ₽;1050000.0;;;;68.0;0.0;0.0;;нет данных;100811.0;9.6;Бойцов Иван;Бойцов Иван;Trade-In на новый;79.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";YV1DZ8256D2373175;Avangard Приморский;Volvo;XC60;2012;258459;D;1–2 млн ₽;1000000.0;;;;65.0;0.0;5.0;;нет данных;60013.0;6.0;Вырышев Максим;Вырышев Максим;Trade-In на БУ;78.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";WAUZZZ8K0CA062873;Avangard Приморский;Audi;A4;2011;210795;D;<1 млн ₽;700000.0;;;;66.0;0.0;1.0;;нет данных;107524.0;15.4;Вырышев Максим;Вырышев Максим;Trade-In на новый;62.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";KNADH411BA6588024;Avangard Приморский;Kia;Rio;2009;203271;D;<1 млн ₽;320000.0;;;;59.0;0.0;8.0;;нет данных;61499.0;19.2;Параничев Андрей;Параничев Андрей;Trade-In на новый;65.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";JN1BBUJ32U0004901;Avangard Приморский;Nissan;Teana;2008;175170;D;<1 млн ₽;450000.0;;;;51.0;0.0;15.0;;нет данных;61339.0;13.6;Вырышев Максим;Вырышев Максим;Trade-In на новый;56.99999999999999;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";WF0RXXGCDRBD00524;Avangard Приморский;Ford;Kuga;2011;168737;D;<1 млн ₽;480000.0;;;;57.0;0.0;2.0;;нет данных;69917.0;14.6;Вырышев Максим;Вырышев Максим;Trade-In на новый;65.0;1;False
10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней";XWEJE551890000458;Avangard Приморский;Kia;Sportage;2009;367730;D;<1 млн ₽;400000.0;;;;50.0;0.0;2.0;;нет данных;84093.0;21.0;Вырышев Максим;Вырышев Максим;Trade-In на новый;61.0;1;False
