VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние исходное;Состояние;В основной выборке;Ценовой сегмент;Срок хранения;Срок публикации;Цена продажи факт;% цены к рынку;МЦП;% цены к МЦП;% цены к МЦП исходный;Отклонение от МЦП, ₽;Отклонение от МЦП, % п.п.;Суммарные затраты;% затрат к рынку выбытие;GM1, ₽;GM1, %;GM2, ₽;GM2, %;Категория GM2;Средний пробег рынка;Количество звонков за последнее время;Количество звонков;Статус звонков;Скоринг исходный;Средняя скорость продажи;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Собственнику;Подготовка оценка;Цена продажи из оценки (не МЦП);Оценок по VIN;Оценщики все;Менеджеры все;Дублей в выбытиях;Дублей в МЦП;Есть МЦП;Есть оценка;flag_no_publication;flag_zero_calls;flag_calls_no_data;flag_below_market;flag_below_market_90;flag_below_market_80;flag_quick_below_market;flag_below_ocp;flag_below_ocp_95;flag_below_ocp_90;flag_negative_gm2;flag_multiple_evaluations;Риск-балл;Уровень риска;Риск-флаги
Y4K9964Z8HB000050;Avangard Приморский;Geely;Emgrand GT;2016;112644;Среднее (C);C;True;1–2 млн ₽;32.0;26.0;1112000.0;89.0;;;;;;821990.0;66.0;290010.0;26.0;169668.0;15.3;Высокая прибыль;230000;1.0;7.0;звонки были;;;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;74.0;900000.0;20000.0;1075000.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;False;True;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
WDD2130871A606780;Avangard Приморский;Mercedes-Benz;E-Класс;2019;110734;Хорошее (B);B;True;3–5 млн ₽;4.0;0.0;3391000.0;92.0;;;;;;2800000.0;76.0;591000.0;17.0;409533.0;12.1;Высокая прибыль;126485;;;нет данных;2;49;Бойцов Иван;Бойцов Иван;Trade-In на новый;79.0;2883400.0;20000.0;3226000.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;True;False;True;True;False;False;True;False;False;False;False;False;7;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже рынка ≤7 дней"
X7LHSRDJN47573561;Avangard Приморский;Renault;Duster;2012;131818;Среднее (C);C;True;<1 млн ₽;9.0;4.0;739000.0;76.0;;;;;;421100.0;44.0;317900.0;43.0;216212.0;29.3;Высокая прибыль;189060;11.0;11.0;звонки были;4;25;Вырышев Максим;Вырышев Максим;Trade-In на новый;57.99999999999999;500000.0;20000.0;577778.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;True;True;True;False;False;False;False;False;7;Высокий;"ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
X7LHSRH8549420902;Avangard Приморский;Renault;Duster;2013;159208;Среднее (C);C;True;<1 млн ₽;50.0;48.0;595000.0;85.0;;;;;;419290.0;60.0;175710.0;30.0;91119.0;15.3;Высокая прибыль;202174;0.0;16.0;звонки были;3;19;Жиганов Василий;Жиганов Василий;Trade-In;60.0;400000.0;20000.0;522000.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
XU3178000CZ147849;Avangard Приморский;Fiat;Albea;2012;115598;Среднее (C);C;True;<1 млн ₽;7.0;2.0;410000.0;109.0;;;;;;215390.0;57.0;194610.0;47.0;135151.0;33.0;Высокая прибыль;175960;1.0;1.0;звонки были;3+;14;Жиганов Василий;Жиганов Василий;Trade-In;64.0;210000.0;20000.0;255556.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
XW8AC4NH8HK126371;Avangard Приморский;Skoda;Rapid;2017;144650;Плохое (D);D;True;<1 млн ₽;1.0;0.0;600000.0;64.0;631578.9473684211;95.0;95.0;-31578.947368421126;-5.0;485390.0;52.0;114610.0;19.0;79445.0;13.2;Высокая прибыль;216301;;;нет данных;4-;22;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;45.0;480000.0;20000.0;600000.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;True;True;True;False;True;True;True;True;True;True;False;False;False;False;13;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП"
XWEEH812BE0007189;Avangard Приморский;Kia;Venga;2014;178912;Среднее (C);C;True;<1 млн ₽;38.0;32.0;804000.0;84.0;;;;;;672820.0;71.0;131180.0;16.0;64210.0;8.0;Высокая прибыль;140477;4.0;8.0;звонки были;2-;;Бойцов Иван;Бойцов Иван;Trade-In на новый;79.0;700000.0;20000.0;800000.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
RUMGJ523804019001;Авангард Выкуп;Mazda;6;2021;100250;Отличное (A);A;True;2–3 млн ₽;0.0;17.0;2490000.0;89.0;2567010.309278351;97.0;97.0;-77010.30927835079;-3.0;;;;;;;;49715;0.0;3.0;звонки были;4-;14;Коротков Павел;Коротков Павел;Выкуп;80.0;1963978.0;9622.0;2467000.0;2;Коротков Павел;Коротков Павел;1;1;True;True;False;False;False;True;True;False;False;True;False;False;False;True;6;Высокий;"ниже рынка; ниже 90% рынка; ниже МЦП; несколько оценок"
WBAVM11000VM30254;Авангард Выкуп;BMW;X1;2012;34763;Отличное (A);A;True;2–3 млн ₽;10.0;0.0;2063776.0;121.0;;;;;;;;;;88954.0;4.3;Низкая прибыль;198000;;;нет данных;;;Богачев Андрей;Богачев Андрей;Выкуп;80.0;1090378.0;9622.0;1375000.0;1;Богачев Андрей;Богачев Андрей;1;1;False;True;True;False;True;False;False;False;False;False;False;False;False;False;3;Средний;"без публикации; нет данных по звонкам"
WVWZZZ3CZ9E045783;Avangard Приморский;Volkswagen;Passat;2008;316234;Плохое (D);D;True;<1 млн ₽;23.0;0.0;300000.0;44.0;;;;;;195390.0;29.0;104610.0;35.0;70215.0;23.4;Высокая прибыль;308543;1.0;1.0;звонки были;3-;27;Жиганов Василий;Жиганов Василий;Trade-In;54.0;250000.0;20000.0;300000.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;True;False;False;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
Z94CU51DBCR036677;Avangard Приморский;Hyundai;Solaris;2012;66152;Среднее (C);C;True;<1 млн ₽;28.0;21.0;760000.0;90.0;;;;;;579069.0;69.0;180931.0;24.0;104872.0;13.8;Высокая прибыль;183102;6.0;15.0;звонки были;4;26;Вырышев Максим;Вырышев Максим;Trade-In на новый;72.0;600000.0;20000.0;688889.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
XUFJA695JE3016432;Avangard Приморский;Chevrolet;Cruze;2014;112338;Среднее (C);C;True;<1 млн ₽;27.0;20.0;838000.0;78.0;;;;;;421100.0;39.0;416900.0;50.0;274103.0;32.7;Высокая прибыль;198823;0.0;4.0;звонки были;3;24;Симаньков Артем;Симаньков Артем;Trade-In на новый;49.0;400000.0;20000.0;466667.0;1;Симаньков Артем;Симаньков Артем;1;1;False;True;False;False;False;True;True;True;False;False;False;False;False;False;5;Средний;"ниже рынка; ниже 90% рынка; ниже 80% рынка"
LGWFF7A52NJ640425;Avangard Приморский;Tank;300;2022;31947;Хорошее (B);B;True;3–5 млн ₽;12.0;9.0;3200000.0;94.0;;;;;;5390.0;0.0;;;;;;53824;2.0;2.0;звонки были;4;23;Симаньков Артем;Симаньков Артем;Комиссия;0.0;3052000.0;20000.0;3102000.0;1;Симаньков Артем;Симаньков Артем;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
Y4K8722D1PB316325;Avangard Приморский;Geely;Atlas Pro;2023;156583;Хорошее (B);B;True;1–2 млн ₽;50.0;35.0;1622000.0;96.0;;;;;;1384524.0;82.0;237476.0;15.0;102391.0;6.3;Средняя прибыль;66108;1.0;2.0;звонки были;4-;24;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;86.0;1500000.0;20000.0;1688889.0;2;"Бойцов Иван; Тронягин Кирилл";"Бойцов Иван; Тронягин Кирилл";1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;True;2;Низкий;"ниже рынка; несколько оценок"
YV1PZK5VCM1136711;Авангард Выкуп;Volvo;V90 Cross Country;2024;144928;Отличное (A);A;True;3–5 млн ₽;7.0;0.0;3690000.0;;3765306.12244898;98.0;98.0;-75306.12244897988;-2.0;3505500.0;;184500.0;5.0;112479.0;3.0;Низкая прибыль;;;;нет данных;;;;;;;;;;0;;;1;1;True;False;True;False;True;False;False;False;False;True;False;False;False;False;6;Высокий;"без публикации; нет данных по звонкам; ниже МЦП"
LFPH4CPP9R1K18179;Авангард Выкуп;Hongqi;HS3;2024;400;Отличное (A);A;True;3–5 млн ₽;8.0;0.0;3150000.0;104.0;;;;;;;;;;;;;17516;;;нет данных;;;;;;;;;;0;;;1;1;False;False;True;False;True;False;False;False;False;False;False;False;False;False;3;Средний;"без публикации; нет данных по звонкам"
XW8AC4NE6LH021405;Авангард Выкуп;Skoda;Octavia;2020;72438;Отличное (A);A;True;1–2 млн ₽;17.0;1.0;1890000.0;86.0;1968750.0;96.0;96.0;-78750.0;-4.0;1730000.0;79.0;160000.0;8.0;92120.0;4.9;Средняя прибыль;93034;0.0;0.0;0 звонков;3+;27;Мироненко Алексей;Мироненко Алексей;Выкуп;80.0;1677578.0;9622.0;2109000.0;1;Мироненко Алексей;Мироненко Алексей;1;1;True;True;False;True;False;True;True;False;True;True;False;False;False;False;10;Критический;"0 звонков; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; ниже МЦП"
XWEPH81ADK0039245;Авангард Выкуп;Kia;Sportage;2019;59290;Хорошее (B);B;True;2–3 млн ₽;47.0;29.0;2599000.0;103.0;;;;;;;;;;;;;120423;0.0;2.0;звонки были;4;16;Богачев Андрей;Богачев Андрей;Выкуп;81.0;2021200.0;20000.0;2268000.0;1;Богачев Андрей;Богачев Андрей;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
XW8ZZZCKZLG000770;Авангард Выкуп;Volkswagen;Polo;2020;141771;Среднее (C);C;True;1–2 млн ₽;44.0;22.0;1275000.0;93.0;;;;;;;;;;;;;106369;2.0;2.0;звонки были;3;27;Богачев Андрей;Богачев Андрей;Выкуп;81.0;1087000.0;20000.0;1230000.0;2;Богачев Андрей;Богачев Андрей;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;True;2;Низкий;"ниже рынка; несколько оценок"
LDP95H960PE301843;Авангард Выкуп;Voyah;Free;2023;65017;Отличное (A);A;True;3–5 млн ₽;34.0;7.0;3380000.0;;;;;;;3250000.0;;130000.0;4.0;21686.0;0.6;Убыток;;0.0;1.0;звонки были;2-;;Логинов Артем;Логинов Артем;Выкуп;81.0;2898700.0;20000.0;3243000.0;1;Логинов Артем;Логинов Артем;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
LGWFF9A65PM607134;Авангард Выкуп;Tank;500;2023;75454;Отличное (A);A;True;3–5 млн ₽;42.0;15.0;4000000.0;95.0;;;;;;3800000.0;90.0;200000.0;5.0;34804.0;0.9;Убыток;73425;0.0;1.0;звонки были;3+;38;Логинов Артем;Логинов Артем;Выкуп;81.0;3468400.0;20000.0;3876000.0;2;"Богачев Андрей; Логинов Артем";"Богачев Андрей; Логинов Артем";1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;True;2;Низкий;"ниже рынка; несколько оценок"
