VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние исходное;Состояние;В основной выборке;Ценовой сегмент;Срок хранения;Срок публикации;Цена продажи факт;% цены к рынку;МЦП;% цены к МЦП;% цены к МЦП исходный;Отклонение от МЦП, ₽;Отклонение от МЦП, % п.п.;Суммарные затраты;% затрат к рынку выбытие;GM1, ₽;GM1, %;GM2, ₽;GM2, %;Категория GM2;Средний пробег рынка;Количество звонков за последнее время;Количество звонков;Статус звонков;Скоринг исходный;Средняя скорость продажи;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Собственнику;Подготовка оценка;Цена продажи из оценки (не МЦП);Оценок по VIN;Оценщики все;Менеджеры все;Дублей в выбытиях;Дублей в МЦП;Есть МЦП;Есть оценка;flag_no_publication;flag_zero_calls;flag_calls_no_data;flag_below_market;flag_below_market_90;flag_below_market_80;flag_quick_below_market;flag_below_ocp;flag_below_ocp_95;flag_below_ocp_90;flag_negative_gm2;flag_multiple_evaluations;Риск-балл;Уровень риска;Риск-флаги
Y4K8762DXMB303866;Avangard Приморский;Geely;Atlas;2021;60273;Хорошее (B);B;True;1–2 млн ₽;13.0;8.0;1830000.0;98.0;;;;;;1487689.0;79.0;342311.0;19.0;220232.0;12.0;Высокая прибыль;78973;4.0;4.0;звонки были;4+;13;Параничев Андрей;Параничев Андрей;Trade-In на новый;84.0;1496500.0;20000.0;1685000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
X7LHSRDJA50361262;Avangard Приморский;Renault;Duster;2014;125105;Плохое (D);D;True;<1 млн ₽;3.0;0.0;650000.0;70.0;;;;;;559000.0;60.0;91000.0;14.0;61584.0;9.5;Высокая прибыль;142582;;;нет данных;3+;23;Бойцов Иван;Бойцов Иван;Trade-In на новый;77.0;700000.0;20000.0;800000.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
JTHBJ1GG902051143;Avangard Приморский;Lexus;ES;2014;193140;Среднее (C);C;True;1–2 млн ₽;39.0;34.0;1840000.0;89.0;;;;;;1625105.0;78.0;214895.0;12.0;86908.0;4.7;Средняя прибыль;217949;2.0;5.0;звонки были;1;;Жиганов Василий;Жиганов Василий;Trade-In;82.0;1650000.0;20000.0;1855556.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
LS4ASE2W3LJ103958;Avangard Приморский;Changan;CS75;2020;23586;Хорошее (B);B;True;1–2 млн ₽;23.0;18.0;1690000.0;92.0;;;;;;1566491.0;85.0;123509.0;7.0;52426.0;3.1;Низкая прибыль;82639;4.0;6.0;звонки были;;;Параничев Андрей;Параничев Андрей;Trade-In на новый;94.0;1550000.0;20000.0;1728000.0;1;Параничев Андрей;Параничев Андрей;2;2;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
XW8ZZZ5NZDG133291;Avangard Приморский;Volkswagen;Tiguan;2013;287485;Плохое (D);D;True;<1 млн ₽;2.0;0.0;760000.0;72.0;;;;;;709000.0;67.0;51000.0;7.0;33593.0;4.4;Низкая прибыль;213075;;;нет данных;3+;32;Тронягин Кирилл;Петров Денис;Trade-In на БУ;67.0;700000.0;20000.0;857000.0;1;Тронягин Кирилл;Петров Денис;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
LMWDC1G82P1005827;Avangard Приморский;GAC;GS5;2023;105000;Хорошее (B);B;True;1–2 млн ₽;11.0;8.0;1690000.0;96.0;;;;;;1422900.0;81.0;267100.0;16.0;171819.0;10.2;Высокая прибыль;38475;1.0;1.0;звонки были;1;;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;70.0;1400000.0;20000.0;1751000.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
LGWDAE19XRJ622113;Avangard Приморский;Great Wall;Poer;2023;66536;Среднее (C);C;True;2–3 млн ₽;23.0;19.0;2430000.0;92.0;;;;;;2119066.0;80.0;310934.0;13.0;175308.0;7.2;Высокая прибыль;69002;2.0;3.0;звонки были;3+;11;Бойцов Иван;Бойцов Иван;Trade-In на новый;79.0;2000000.0;20000.0;2244444.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
Z94G2811DJR058746;Avangard Приморский;Hyundai;Creta;2017;158886;Хорошее (B);B;True;1–2 млн ₽;5.0;0.0;1520000.0;98.0;;;;;;1169948.0;75.0;350052.0;23.0;239673.0;15.8;Высокая прибыль;134457;;;нет данных;4;12;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;74.0;1150000.0;20000.0;1442000.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;False;True;True;False;True;True;False;False;True;False;False;False;False;False;7;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже рынка ≤7 дней"
4MBSRDM1A9E702690;Avangard Приморский;Mitsubishi;Galant;2008;271579;Плохое (D);D;True;<1 млн ₽;0.0;0.0;340000.0;73.0;;;;;;270000.0;58.0;70000.0;21.0;49233.0;14.5;Высокая прибыль;291729;;;нет данных;3-;27;Тронягин Кирилл;Петров Денис;Trade-In на БУ;63.0;300000.0;20000.0;448000.0;1;Тронягин Кирилл;Петров Денис;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
XUFJA685JD3044105;Avangard Приморский;Chevrolet;Cruze;2013;159708;Плохое (D);D;True;<1 млн ₽;1.0;0.0;450000.0;70.0;459183.67346938775;98.0;98.0;-9183.673469387752;-2.0;400000.0;62.0;50000.0;11.0;34947.0;7.8;Высокая прибыль;207564;;;нет данных;3;32;Тронягин Кирилл;Бабарико Валерий;Trade-In на БУ;79.0;550000.0;20000.0;632000.0;1;Тронягин Кирилл;Бабарико Валерий;1;1;True;True;True;False;True;True;True;True;True;True;False;False;False;False;13;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП"
XW8JC6NUXLH201859;Avangard Приморский;Skoda;Karoq;2020;102545;Хорошее (B);B;True;2–3 млн ₽;7.0;6.0;2129000.0;94.0;;;;;;1779066.0;78.0;349934.0;16.0;234871.0;11.0;Высокая прибыль;100458;0.0;0.0;0 звонков;4;20;Вырышев Максим;Вырышев Максим;Trade-In на новый;79.0;1800000.0;20000.0;2022222.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;True;False;True;False;False;True;False;False;False;False;False;6;Высокий;"0 звонков; ниже рынка; ниже рынка ≤7 дней"
Z8NTBNT32ES106549;Avangard Приморский;Nissan;X-Trail;2019;158000;Среднее (C);C;True;2–3 млн ₽;13.0;11.0;2099000.0;97.0;;;;;;1821100.0;84.0;277900.0;13.0;170519.0;8.1;Высокая прибыль;117783;3.0;3.0;звонки были;4-;15;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;82.0;1800000.0;20000.0;2022222.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
Y4K8722D1NB302499;Avangard Приморский;Geely;Atlas Pro;2022;117600;Хорошее (B);B;True;1–2 млн ₽;39.0;34.0;1685000.0;98.0;;;;;;1421100.0;83.0;263900.0;16.0;133075.0;7.9;Высокая прибыль;73262;0.0;1.0;звонки были;4+;14;Бойцов Иван;Бойцов Иван;Trade-In на новый;81.0;1400000.0;20000.0;1577778.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
LGWFF9A6XPM604598;Avangard Приморский;Tank;500;2023;103900;Хорошее (B);B;True;3–5 млн ₽;28.0;26.0;3928000.0;96.0;;;;;;3302463.0;81.0;625537.0;16.0;370528.0;9.4;Высокая прибыль;60211;1.0;1.0;звонки были;3+;38;Бойцов Иван;Бойцов Иван;Trade-In на новый;82.0;3300000.0;20000.0;3688889.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
Z94G2813BMR336447;Avangard Приморский;Hyundai;Creta;2021;93837;Хорошее (B);B;True;1–2 млн ₽;27.0;24.0;1921000.0;94.0;;;;;;1692370.0;83.0;228630.0;12.0;119389.0;6.2;Средняя прибыль;85424;0.0;0.0;0 звонков;4+;10;Параничев Андрей;Параничев Андрей;Trade-In на новый;81.0;1616200.0;20000.0;1818000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;False;True;False;True;False;False;False;False;False;False;False;False;4;Средний;"0 звонков; ниже рынка"
Z94C351BBNR177922;Avangard Приморский;Kia;Rio;2022;32762;Среднее (C);C;True;1–2 млн ₽;5.0;1.0;1955000.0;96.0;;;;;;1540512.0;76.0;414488.0;21.0;283884.0;14.5;Высокая прибыль;53033;3.0;3.0;звонки были;4+;15;Вырышев Максим;Вырышев Максим;Trade-In на новый;82.0;1620000.0;20000.0;1822222.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
Y4K8622Z7MB904336;Avangard Приморский;Geely;Coolray;2021;81121;Среднее (C);C;True;1–2 млн ₽;9.0;0.0;1490000.0;91.0;;;;;;1221100.0;75.0;268900.0;18.0;179588.0;12.1;Высокая прибыль;83720;;;нет данных;4+;21;Вырышев Максим;Вырышев Максим;Trade-In на новый;76.0;1250000.0;20000.0;1411111.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;False;False;True;False;False;False;False;False;7;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже рынка ≤7 дней"
LVVDB11B5ND906054;Avangard Приморский;Chery;Tiggo 4 Pro;2022;55257;Среднее (C);C;True;1–2 млн ₽;7.0;4.0;1386000.0;92.0;;;;;;1183900.0;78.0;202100.0;15.0;133814.0;9.7;Высокая прибыль;77755;2.0;2.0;звонки были;4;16;Вырышев Максим;Вырышев Максим;Trade-In на новый;80.0;1150000.0;20000.0;1300000.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
XWEJC813DJ0013762;Avangard Приморский;Hyundai;Tucson;2018;246800;Плохое (D);D;True;1–2 млн ₽;9.0;0.0;1450000.0;74.0;;;;;;1336966.0;68.0;113034.0;8.0;71746.0;4.9;Средняя прибыль;136372;;;нет данных;3+;27;Вырышев Максим;Вырышев Максим;Trade-In на новый;76.0;1400000.0;20000.0;1577778.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
SALRA2BK6L2436433;Avangard Приморский;Land Rover;Discovery;2020;143257;Среднее (C);C;True;3–5 млн ₽;19.0;18.0;4200000.0;93.0;;;;;;3321100.0;74.0;878900.0;21.0;566385.0;13.5;Высокая прибыль;135642;1.0;4.0;звонки были;2+;20;Вырышев Максим;Вырышев Максим;Trade-In на новый;77.0;3300000.0;20000.0;3688889.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
VF3MJAHXVJS352240;Avangard Приморский;Peugeot;3008;2018;79762;Среднее (C);C;True;1–2 млн ₽;33.0;30.0;1965000.0;92.0;;;;;;1781466.0;83.0;183534.0;9.0;76197.0;3.9;Низкая прибыль;142319;3.0;3.0;звонки были;1+;;Жиганов Василий;Жиганов Василий;Trade-In;83.0;1760000.0;20000.0;1977778.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
X4X5E59490D935801;Avangard Приморский;BMW;5 серии;2015;275900;Плохое (D);D;True;1–2 млн ₽;6.0;0.0;1450000.0;83.0;;;;;;1206966.0;69.0;243034.0;17.0;165805.0;11.4;Высокая прибыль;214868;0.0;2.0;звонки были;3-;28;Симаньков Артем;Симаньков Артем;Trade-In на новый;86.0;1501900.0;20000.0;1691000.0;2;"Жиганов Василий; Симаньков Артем";"Жиганов Василий; Симаньков Артем";1;1;False;True;True;False;False;True;True;False;True;False;False;False;False;True;8;Высокий;"без публикации; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней; несколько оценок"
X7LHSRHGN66670931;Avangard Приморский;Renault;Duster;2020;52455;Среднее (C);C;True;1–2 млн ₽;33.0;31.0;1511000.0;84.0;;;;;;1274679.0;71.0;236321.0;16.0;94847.0;6.3;Средняя прибыль;109711;10.0;25.0;звонки были;4+;9;Вырышев Максим;Вырышев Максим;Trade-In на новый;77.0;1275000.0;20000.0;1438889.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
LM8F7E192PA155739;Avangard Приморский;Aito;M7;2023;13092;Отличное (A);A;True;3–5 млн ₽;22.0;23.0;4700000.0;101.0;;;;;;;;;;;;;20913;0.0;1.0;звонки были;1;;Параничев Андрей;Черняева Ирина;Trade-In на новый;88.0;3820300.0;20000.0;4267000.0;1;Параничев Андрей;Черняева Ирина;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
WDD2050401R236677;Avangard Приморский;Mercedes-Benz;C-Класс;2016;147863;Среднее (C);C;True;1–2 млн ₽;22.0;20.0;1937000.0;91.0;;;;;;1670808.0;79.0;266192.0;14.0;138164.0;7.1;Высокая прибыль;146397;2.0;4.0;звонки были;3-;43;Жиганов Василий;Жиганов Василий;Выкуп;84.0;1729600.0;20000.0;1944000.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
XTA219140P0486192;Avangard Приморский;Lada (ВАЗ);Granta;2023;42000;Хорошее (B);B;True;<1 млн ₽;11.0;9.0;747000.0;94.0;;;;;;652900.0;82.0;94100.0;13.0;56032.0;7.5;Высокая прибыль;51230;1.0;1.0;звонки были;4-;31;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;87.0;630000.0;20000.0;719000.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
X7LHSRDJN46998061;Avangard Приморский;Renault;Duster;2012;314750;Плохое (D);D;True;<1 млн ₽;1.0;0.0;275000.0;47.0;381944.44444444444;72.0;72.0;-106944.44444444444;-28.0;219000.0;37.0;56000.0;20.0;37767.0;13.7;Высокая прибыль;179931;;;нет данных;4;24;Бойцов Иван;Бойцов Иван;Trade-In на новый;69.0;450000.0;20000.0;522222.0;1;Бойцов Иван;Бойцов Иван;1;1;True;True;True;False;True;True;True;True;True;True;True;True;False;False;15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП"
XWFDT13S180000520;Avangard Приморский;Chevrolet;TrailBlazer;2008;338686;Плохое (D);D;True;<1 млн ₽;1.0;0.0;350000.0;41.0;;;;;;279000.0;33.0;71000.0;20.0;48284.0;13.8;Высокая прибыль;281778;;;нет данных;1-;;Вырышев Максим;Вырышев Максим;Trade-In на новый;57.99999999999999;400000.0;20000.0;466667.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
WP1ZZZ95ZFLB68669;Avangard Приморский;Porsche;Macan;2015;88395;Плохое (D);D;True;2–3 млн ₽;1.0;0.0;2050000.0;62.0;2277777.7777777775;90.0;90.0;-227777.77777777752;-10.0;1900000.0;57.0;150000.0;7.0;104459.0;5.1;Средняя прибыль;123905;;;нет данных;3-;27;Бойцов Иван;Бойцов Иван;Trade-In на новый;57.99999999999999;1900000.0;20000.0;2133333.0;1;Бойцов Иван;Бойцов Иван;1;1;True;True;True;False;True;True;True;True;True;True;True;False;False;False;14;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП"
LVVDB21B3MD269587;Avangard Приморский;Chery;Tiggo 7 Pro;2021;79182;Хорошее (B);B;True;1–2 млн ₽;6.0;3.0;1436000.0;90.0;;;;;;1122900.0;70.0;313100.0;22.0;211599.0;14.7;Высокая прибыль;83765;2.0;2.0;звонки были;5-;22;Симаньков Артем;Симаньков Артем;Trade-In на новый;81.0;1296700.0;20000.0;1463000.0;1;Симаньков Артем;Симаньков Артем;1;1;False;True;False;False;False;True;False;False;True;False;False;False;False;False;4;Средний;"ниже рынка; ниже рынка ≤7 дней"
X7LASRBA563350986;Avangard Приморский;Renault;Kaptur;2019;67116;Среднее (C);C;True;1–2 млн ₽;26.0;23.0;1597000.0;89.0;;;;;;1322816.0;74.0;274184.0;17.0;133346.0;8.3;Высокая прибыль;134756;7.0;27.0;звонки были;3+;14;Жиганов Василий;Жиганов Василий;Trade-In;82.0;1300000.0;20000.0;1466667.0;1;Жиганов Василий;Жиганов Василий;1;1;False;True;False;False;False;True;True;False;False;False;False;False;False;False;3;Средний;"ниже рынка; ниже 90% рынка"
VSKJAWR51U0413070;Avangard Приморский;Nissan;Pathfinder;2011;263000;Среднее (C);C;True;1–2 млн ₽;32.0;31.0;1213000.0;92.0;;;;;;1101766.0;84.0;111234.0;9.0;32970.0;2.7;Низкая прибыль;204301;7.0;11.0;звонки были;2-;34;Вырышев Максим;Вырышев Максим;Trade-In на новый;67.0;900000.0;20000.0;1022222.0;1;Вырышев Максим;Вырышев Максим;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
LDCC61952P4068007;Avangard Приморский;Citroen;C5 Aircross;2023;21035;Среднее (C);C;True;2–3 млн ₽;15.0;11.0;2662000.0;93.0;;;;;;2212100.0;77.0;449900.0;17.0;285733.0;10.7;Высокая прибыль;45715;5.0;6.0;звонки были;;;Бойцов Иван;Бойцов Иван;Trade-In на новый;73.0;2150000.0;20000.0;2411111.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
TMBJD6NE7E0208190;Avangard Приморский;Skoda;Octavia;2014;286168;Плохое (D);D;True;<1 млн ₽;35.0;0.0;977000.0;86.0;;;;;;480390.0;42.0;496610.0;51.0;339171.0;34.7;Высокая прибыль;260236;;;нет данных;;;Симаньков Артем;Симаньков Артем;Trade-In на новый;81.0;972700.0;20000.0;1103000.0;1;Симаньков Артем;Симаньков Артем;1;1;False;True;True;False;True;True;True;False;True;False;False;False;False;False;8;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней"
LVTDD24B4RG020610;Avangard Приморский;Exeed;RX;2024;12352;Хорошее (B);B;True;3–5 млн ₽;23.0;22.0;3655000.0;97.0;;;;;;3122900.0;83.0;532100.0;15.0;309788.0;8.5;Высокая прибыль;25634;5.0;6.0;звонки были;4;21;Бойцов Иван;Бойцов Иван;Trade-In на новый;83.0;3100000.0;20000.0;3466667.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
XWEPH813DL0006732;Avangard Приморский;Kia;Sorento;2019;119915;Хорошее (B);B;True;2–3 млн ₽;10.0;4.0;2650000.0;102.0;;;;;;2207400.0;85.0;442600.0;17.0;290985.0;11.0;Высокая прибыль;118237;2.0;2.0;звонки были;3+;19;Параничев Андрей;Параничев Андрей;Trade-In на новый;82.0;2116600.0;20000.0;2374000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;0;Низкий;
SALGA2BK8LA585777;Avangard Приморский;Land Rover;Range Rover;2019;136840;Среднее (C);C;True;5+ млн ₽;1.0;0.0;5500000.0;83.0;;;;;;;;;;208151.0;3.8;Низкая прибыль;127098;;;нет данных;3-;38;Логинов Артем;Логинов Артем;Комиссия;0.0;5915000.0;20000.0;5965000.0;1;Логинов Артем;Логинов Артем;1;1;False;True;True;False;True;True;True;False;True;False;False;False;False;False;8;Высокий;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже рынка ≤7 дней"
XW8AD6NE3JH020301;Avangard Приморский;Skoda;Octavia;2017;346666;Плохое (D);D;True;<1 млн ₽;6.0;0.0;750000.0;71.0;;;;;;689000.0;65.0;61000.0;8.0;39138.0;5.2;Средняя прибыль;171502;;;нет данных;3-;24;Параничев Андрей;Параничев Андрей;Trade-In на новый;85.0;901600.0;20000.0;1024000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
SHSRD88604U205865;Avangard Приморский;Honda;CR-V;2003;153521;Плохое (D);D;True;<1 млн ₽;6.0;0.0;400000.0;65.0;;;;;;339000.0;55.0;61000.0;15.0;40289.0;10.1;Высокая прибыль;297583;;;нет данных;2;;Параничев Андрей;Параничев Андрей;Trade-In на новый;56.99999999999999;355840.0;20000.0;464000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
Z94C241BAJR010794;Avangard Приморский;Kia;Rio;2017;120738;Хорошее (B);B;True;1–2 млн ₽;20.0;12.0;1038000.0;92.0;;;;;;770570.0;69.0;267430.0;26.0;170259.0;16.4;Высокая прибыль;112564;4.0;7.0;звонки были;4;13;Бойцов Иван;Бойцов Иван;Trade-In на новый;75.0;850000.0;20000.0;966667.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
Y4K8742Z4MB700571;Avangard Приморский;Geely;GS;2021;44955;Хорошее (B);B;True;1–2 млн ₽;38.0;36.0;1315000.0;81.0;1341836.7346938776;98.0;98.0;-26836.73469387763;-2.0;1023309.0;63.0;291691.0;22.0;163141.0;12.4;Высокая прибыль;84877;4.0;4.0;звонки были;;;Параничев Андрей;Симаньков Артем;Trade-In на новый;68.0;952000.0;20000.0;1080000.0;1;Параничев Андрей;Симаньков Артем;1;1;True;True;False;False;False;True;True;False;False;True;False;False;False;False;6;Высокий;"ниже рынка; ниже 90% рынка; ниже МЦП"
XWEHN512BG0037320;Avangard Приморский;Kia;Ceed;2016;175245;Среднее (C);C;True;1–2 млн ₽;26.0;20.0;1122000.0;99.0;;;;;;931237.0;82.0;190763.0;17.0;107090.0;9.5;Высокая прибыль;145162;1.0;1.0;звонки были;4-;22;Симаньков Артем;Симаньков Артем;Trade-In на новый;77.0;909700.0;20000.0;1033000.0;1;Симаньков Артем;Симаньков Артем;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
X7LASRBA658818151;Avangard Приморский;Renault;Kaptur;2017;112790;Плохое (D);D;True;<1 млн ₽;4.0;0.0;925000.0;70.0;925000.0;100.0;100.0;0.0;0.0;839000.0;63.0;86000.0;9.0;57148.0;6.2;Средняя прибыль;118238;;;нет данных;4;16;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;72.0;1000000.0;20000.0;1183000.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;True;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
XWEHN812BE0012162;Avangard Приморский;Kia;Ceed;2014;148270;Среднее (C);C;True;1–2 млн ₽;19.0;10.0;1067000.0;91.0;;;;;;774970.0;66.0;292030.0;27.0;180102.0;16.9;Высокая прибыль;201728;4.0;6.0;звонки были;3+;29;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;78.0;850000.0;20000.0;1000000.0;1;Тронягин Кирилл;Тронягин Кирилл;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
XWEPH81CDM0010637;Avangard Приморский;Kia;Sportage;2021;72665;Хорошее (B);B;True;2–3 млн ₽;17.0;15.0;2751000.0;98.0;;;;;;2345600.0;83.0;405400.0;15.0;245521.0;8.9;Высокая прибыль;75209;8.0;10.0;звонки были;3+;19;Бойцов Иван;Бойцов Иван;Trade-In на новый;88.0;2300000.0;20000.0;2577778.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
Z8TXTGF3WDM001266;Avangard Приморский;Mitsubishi;Outlander;2013;192459;Среднее (C);C;True;1–2 млн ₽;19.0;17.0;1215000.0;90.0;;;;;;972600.0;72.0;242400.0;20.0;148283.0;12.2;Высокая прибыль;199365;0.0;2.0;звонки были;4-;26;Бойцов Иван;Бойцов Иван;Trade-In на БУ;81.0;1066300.0;20000.0;1207000.0;1;Бойцов Иван;Бойцов Иван;1;1;False;True;False;False;False;True;False;False;False;False;False;False;False;False;2;Низкий;ниже рынка
XWBMA481JBA529492;Avangard Приморский;Chevrolet;Spark;2011;113579;Плохое (D);D;True;<1 млн ₽;5.0;0.0;300000.0;54.0;;;;;;259000.0;47.0;41000.0;14.0;26627.0;8.9;Высокая прибыль;154037;;;нет данных;3+;19;Жиганов Василий;Кауров Андрей;Trade-In на БУ;48.0;250000.0;20000.0;300000.0;1;Жиганов Василий;Кауров Андрей;1;1;False;True;True;False;True;True;True;True;True;False;False;False;False;False;10;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней"
KNMCSHLMS8P734363;Avangard Приморский;Nissan;Almera Classic;2008;238000;Среднее (C);C;True;<1 млн ₽;33.0;30.0;336000.0;77.0;;;;;;235000.0;54.0;101000.0;30.0;61594.0;18.3;Высокая прибыль;210393;1.0;3.0;звонки были;4-;34;Тронягин Кирилл;Петров Денис;Trade-In на БУ;64.0;250000.0;20000.0;326000.0;1;Тронягин Кирилл;Петров Денис;1;1;False;True;False;False;False;True;True;True;False;False;False;False;False;False;5;Средний;"ниже рынка; ниже 90% рынка; ниже 80% рынка"
XW8ZZZ5NZ9G004206;Avangard Приморский;Volkswagen;Tiguan;2009;109394;Среднее (C);C;True;1–2 млн ₽;15.0;1.0;1040000.0;102.0;;;;;;735390.0;72.0;304610.0;29.0;207300.0;19.9;Высокая прибыль;263723;;;нет данных;3+;27;Параничев Андрей;Параничев Андрей;Trade-In на новый;83.0;814300.0;20000.0;927000.0;1;Параничев Андрей;Параничев Андрей;1;1;False;True;False;False;True;False;False;False;False;False;False;False;False;False;0;Низкий;нет данных по звонкам
